,3prime,tAI,max_5_UTR_length,TCGA-D8-A142,TCGA-D8-A142.1
CDK5RAP3,284.0,0.469750898,1791.0,0.054688,0.292695321
CDKAL1,1365.0,0.417875209,167.0,0.547578,0.175757376
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.521827,-0.077768949
CDKN2C,2247.0,0.381912025,1216.0,-0.52019,0.101460572
CENPH,1478.0,0.418392258,87.0,-0.085815,-0.429478487
CENPV,301.0,0.385948267,62.0,0.658272,0.281877128
CEP55,939.0,0.397841874,304.0,0.58486,-0.636211622
CES3,2100.0,0.377378956,446.0,0.141749,-0.298185179
CETN2,868.0,0.433727498,47.0,0.283327,-0.036365162
CFL1,677.0,0.502791,234.0,1.000915,-0.072683692
CHAC2,786.0,0.395629742,277.0,0.688798,0.146015958
CHCHD4,3528.0,0.445497334,326.0,-0.484776,-0.502831411
CHMP4A,296.0,0.447100154,262.0,0.001893,-0.061014161
CHMP5,1241.0,0.442987983,200.0,-0.25157,-0.949882193
CHMP6,980.0,0.489861105,78.0,0.545486,0.056041168
CHTF8,2425.0,0.424551152,142.0,-0.189429,-0.217393439
CIAPIN1,1024.0,0.451663323,242.0,0.239762,-0.160891719
CISD2,5376.0,0.433298698,107.0,-0.30207,-0.316297145
CKAP4,2872.0,0.386259817,84.0,0.859079,0.679935392
CKS2,300.0,0.317949998,98.0,0.259521,-0.554815633
CLCC1,5185.0,0.369704467,150.0,-0.608881,-0.496028423
CLCN7,1698.0,0.459147749,110.0,0.487229,-0.059323958
CLIC1,290.0,0.4571302,573.0,0.730488,0.227734606
CLK3,1233.0,0.4268607,461.0,-0.537056,-0.65498689
CLPTM1,458.0,0.383990827,351.0,0.389405,0.419746618
CLTA,288.0,0.450950874,514.0,0.913158,-0.181393242
CLTB,319.0,0.48548545,210.0,0.301882,0.163167561
CLTC,3104.0,0.384957863,443.0,0.149274,0.109981199
CNBP,6850.0,0.433298698,206.0,-0.353003,-0.427633805
CNPY2,123.0,0.392778455,553.0,-0.573466,0.012028702
CNPY3,1042.0,0.459231502,584.0,2.1764,1.289580703
COG3,1967.0,0.414689223,142.0,-0.076798,-0.034751578
COMMD1,306.0,0.423842833,138.0,0.973259,0.247359309
COMMD3,431.0,0.360487018,35.0,0.453407,0.461528064
COMMD5,498.0,0.445713337,399.0,0.151941,0.346549444
COMMD6,1375.0,0.396967837,328.0,0.235347,0.199004737
COMMD9,2340.0,0.418062772,89.0,-0.264617,0.151327045
COPB1,446.0,0.381738818,307.0,-0.561278,0.022154494
COPE,165.0,0.478760693,55.0,-0.306873,0.029160761
COQ6,671.0,0.374062527,159.0,-0.748401,0.148412354
COQ7,5700.0,0.42379098,133.0,-0.633694,-0.20911501
CORO1A,112.0,0.457388252,435.0,0.098626,0.103395841
COX17,1735.0,0.484254073,86.0,-0.495717,-0.670334013
COX5A,860.0,0.429944966,140.0,-0.252175,-0.267963162
COX7A2,302.0,0.441893926,98.0,-0.122338,0.039653866
CPM,5262.0,0.406054343,75.0,0.657523,0.023702918
CPSF4,923.0,0.452412439,277.0,0.278625,-0.232960673
CPT1A,2761.0,0.374132033,170.0,0.218365,-0.098219953
CPT2,602.0,0.431256564,515.0,-0.865243,-0.401871242
CRCP,8457.0,0.390198146,145.0,0.101281,-0.529453397
CRKL,3904.0,0.422225684,509.0,-0.032997,0.025523749
CRTAP,5601.0,0.446308827,120.0,0.162025,0.799071068
CRTC3,3205.0,0.355982524,186.0,-0.402582,-0.170886112
CRY2,2337.0,0.383442872,132.0,-0.044955,0.117858413
CRYL1,462.0,0.386242786,79.0,0.064975,0.160069497
CSRP1,1183.0,0.493833101,217.0,1.539685,0.7135084
CST3,2762.0,0.475763324,186.0,-1.006428,-0.085520824
CSTF2,1931.0,0.372934478,58.0,-0.016246,-0.329435707
CTBP1,800.0,0.464034004,393.0,-0.187147,0.046139163
CTNNA1,1216.0,0.412513324,1103.0,-0.022911,0.045206859
CTNNB1,1106.0,0.432073699,448.0,0.815172,0.239709626
CTNNBIP1,2448.0,0.394834327,307.0,1.198344,0.339949773
CTPS2,1870.0,0.416273085,744.0,0.120303,0.160276493
CTSG,119.0,0.369503415,37.0,-1.862875,-0.682583988
CTSH,1072.0,0.446467856,1192.0,0.026092,0.406891261
CUEDC1,2047.0,0.374410739,719.0,0.367114,0.341241164
CUX1,1040.0,0.395555213,127.0,0.704875,-0.046302233
CXCL10,814.0,0.410287201,105.0,0.138953,-0.481316569
CXCL9,2323.0,0.403736618,74.0,1.281091,-0.626544637
CYBB,2544.0,0.418993019,61.0,0.413071,-0.082083175
CYP2S1,1051.0,0.420869286,58.0,-0.054762,-0.176113139
CYTH4,1837.0,0.406296106,377.0,0.591523,0.372168157
DAB2,1757.0,0.368483127,531.0,0.220121,0.247549364
DAGLB,721.0,0.377719723,170.0,0.176365,-0.235850295
DAP3,768.0,0.366492687,184.0,0.398602,0.098801336
DAPP1,2082.0,0.348655603,90.0,1.702525,0.305687092
DBI,233.0,0.467027529,479.0,1.779805,0.137763348
DCAF8,1877.0,0.380310979,212.0,-0.459425,-0.239174561
DCP1A,4153.0,0.411936399,381.0,-0.379525,0.144689036
DCPS,4731.0,0.375605648,329.0,1.005717,0.262416625
DCTN5,10597.0,0.443116252,177.0,0.801266,0.010194167
DDAH2,653.0,0.361046801,1104.0,1.445765,0.480861442
DDB2,1223.0,0.43604051,195.0,-0.165575,0.134809966
DDX23,713.0,0.445931172,91.0,-0.577523,-0.020315432
DDX31,1870.0,0.361830896,544.0,0.184748,-0.231477912
DDX47,438.0,0.379294484,22.0,-0.276149,0.026892259
DDX54,1704.0,0.467316231,28.0,-0.303281,-0.1635989
DDX56,586.0,0.438032149,643.0,-0.504781,-0.002121192
DDX59,217.0,0.413095257,243.0,-0.303517,-0.026432662
DHODH,3463.0,0.371608285,21.0,0.863655,0.209367633
DHPS,121.0,0.474111752,121.0,-0.140813,0.025872231
DHX15,459.0,0.379133957,168.0,-0.175677,-0.131399077
DHX34,591.0,0.384465978,349.0,0.400667,0.22989649
DHX58,357.0,0.440330409,223.0,-1.537432,-0.348330613
DIABLO,719.0,0.425893605,1182.0,0.063001,-0.279834019
DMAP1,63.0,0.471306,301.0,-0.501498,0.040889689
DMXL2,1274.0,0.389901613,225.0,-0.165101,0.01349987
DNAJA4,1736.0,0.398301408,169.0,-1.381671,-0.689873724
DNAJC19,1326.0,0.403482491,259.0,-0.918754,-0.367115754
DNAJC25,1212.0,0.430964931,56.0,-0.241751,0.006670073
DNAJC8,969.0,0.416719859,33.0,0.125421,-0.181535791
DNM1,1255.0,0.393835111,116.0,-0.00892,0.342221176
DNTTIP2,3564.0,0.408096853,58.0,-0.38456,0.047243648
DOCK11,3681.0,0.373818855,63.0,0.15051,0.252838547
DOCK2,524.0,0.446250827,52.0,0.700599,0.318700247
DOK2,438.0,0.384043737,481.0,0.589298,0.254392486
DPCD,197.0,0.459155016,389.0,-0.997821,-0.548454406
DPF2,2501.0,0.393394442,133.0,0.040139,-0.037608505
DPH1,1310.0,0.448716064,341.0,0.046315,-0.02763205
DPH5,784.0,0.413363166,165.0,-0.521907,-0.307958534
DPY30,562.0,0.438431353,279.0,-0.042033,0.255880521
DPYSL2,2472.0,0.430530829,431.0,0.822383,0.434294877
DRAP1,142.0,0.432809908,245.0,0.158362,-0.194506572
DRG1,4594.0,0.444150091,131.0,0.283903,0.4012475
DSN1,5330.0,0.392894937,373.0,0.585254,-0.526237812
DSTN,2786.0,0.375776803,438.0,1.314481,0.523650261
DTL,2265.0,0.372315747,921.0,0.393784,0.13360033
DTX3L,3456.0,0.408848169,89.0,-1.072189,-0.469471818
DUSP12,374.0,0.419884133,34.0,0.297043,0.416246421
DUT,1937.0,0.36471409,109.0,-0.326998,-0.111077326
DYNLT1,514.0,0.420362019,78.0,0.810428,0.452948347
EBAG9,1437.0,0.39438748,402.0,-0.359307,0.153356441
ECH1,191.0,0.389477111,85.0,-0.238486,-0.404483598
ECHDC2,2269.0,0.400166641,752.0,-0.679045,-0.401852562
ECM1,322.0,0.43792189,199.0,0.116822,0.037334298
EDEM2,76.0,0.379021051,100.0,0.251811,0.231858005
EEA1,5374.0,0.405861636,265.0,-0.214683,0.332356813
EEF1A2,286.0,0.417272363,329.0,-3.173397,-1.119540292
EFTUD2,1331.0,0.444646836,398.0,0.358733,0.078667894
EHD1,3363.0,0.446314898,447.0,1.449361,0.565320843
EIF2AK2,8063.0,0.394727306,557.0,-0.343985,-0.24028119
EIF2B3,1058.0,0.383118637,239.0,-0.233039,0.149080296
EIF3F,5840.0,0.435728237,33.0,-0.431655,0.094129288
EIF3L,1718.0,0.380710116,245.0,0.307586,0.234277903
EIF4A3,1120.0,0.381528282,222.0,0.25764,0.003016547
ELAVL1,4910.0,0.437605432,167.0,0.159992,-0.370637148
EMG1,248.0,0.433768095,143.0,-0.604077,0.135756161
EMILIN2,2605.0,0.379592019,159.0,0.933405,0.30115566
ENDOD1,7728.0,0.376426787,118.0,1.729463,0.81354784
ENOSF1,2904.0,0.382279782,622.0,-1.271138,-0.600689135
ENY2,2576.0,0.41756619,146.0,0.364137,-0.195930399
EPSTI1,2106.0,0.391777705,469.0,0.064915,-0.690168562
ERCC1,2342.0,0.45058755,188.0,-0.024719,-0.230402064
ERCC6L,4809.0,0.354829683,623.0,0.050338,-0.257025298
ERH,415.0,0.383837906,71.0,-0.572724,-0.022145976
ERLIN1,2041.0,0.444737514,478.0,-0.817139,-0.417608369
ERP29,1277.0,0.401191178,118.0,-0.001884,0.028946945
ETV6,4356.0,0.398240844,274.0,0.008737,-0.095241958
EXOC4,1232.0,0.388187525,35.0,0.488353,0.359195932
EXOC8,6907.0,0.436106501,127.0,-0.424327,0.1269184
EXOSC1,536.0,0.430105347,451.0,-0.345122,0.146364472
EXOSC2,3902.0,0.431273517,32.0,-0.605827,-0.105825981
F8A1,571.0,0.46317284,15.0,-0.196785,0.150887535
FAAH,2043.0,0.384592892,82.0,-2.08456,-0.557304543
FAF1,4425.0,0.401181969,453.0,0.176734,-0.01653954
FAM122A,4542.0,0.40477622,33.0,-0.664175,-0.311720132
FAM168A,6285.0,0.395008865,285.0,0.756513,0.376518001
FAM177A1,2165.0,0.411149627,459.0,-0.181793,-0.147850364
FAM192A,1824.0,0.379195199,1475.0,0.028323,-0.012641984
FAM20B,4428.0,0.4357945,293.0,0.015978,-0.077462297
FAM32A,1091.0,0.408676074,42.0,-0.211579,-0.26193728
FAM50A,286.0,0.482889735,110.0,0.34567,-0.233149709
FBP1,248.0,0.397353747,331.0,-2.285606,-1.134282697
FBXL20,9338.0,0.383104745,254.0,0.545056,-0.301850382
FBXO4,526.0,0.393825218,58.0,-0.406191,0.095128483
FBXO6,503.0,0.42307306,166.0,-0.158732,-0.523756018
FCER1G,305.0,0.4202976,25.0,0.684187,-0.290281127
FCGRT,309.0,0.433069976,486.0,-0.14097,0.25394431
FDPS,72.0,0.456397562,392.0,0.545134,0.133097538
FDXR,596.0,0.384661194,188.0,-0.500606,-0.595417044
FEN1,1340.0,0.407867196,413.0,0.261723,-0.05449819
FERMT3,399.0,0.435119014,149.0,0.531514,0.254879326
FGD2,907.0,0.441856308,171.0,0.308652,0.297819304
FGFR1OP2,1663.0,0.396595515,353.0,-0.282257,0.150470307
FGL2,3460.0,0.40966218,40.0,-0.375075,-0.059276931
FKBP1A,1132.0,0.428443098,174.0,0.625706,0.273592167
FKBPL,24.0,0.377510344,270.0,0.26002,0.383300916
FLOT1,422.0,0.472159534,339.0,0.518964,0.49093531
FN3K,442.0,0.389857108,61.0,0.577659,-0.081546181
FN3KRP,3667.0,0.380720834,50.0,0.21239,-0.324318951
FOXJ3,3176.0,0.401878681,312.0,-0.428111,-0.807553754
FOXK2,3108.0,0.440496276,171.0,0.581909,-0.028894365
FOXRED1,443.0,0.438630908,167.0,0.594886,0.172522059
FSCN1,1184.0,0.396100853,132.0,0.413991,0.002801229
FTH1,530.0,0.425357612,235.0,0.01346,-0.058026659
FTL,1031.0,0.428438948,199.0,0.387625,-0.1203423
FTSJ1,638.0,0.457521275,569.0,0.227078,-0.054056773
FTSJ3,698.0,0.388239396,646.0,-0.057572,-0.561657794
FXN,6365.0,0.40465004,220.0,-0.533546,-0.097958401
GABARAPL2,564.0,0.431291441,136.0,0.633356,0.517918922
GABPB1,1320.0,0.423118524,469.0,-0.124314,-0.539380757
GALK1,292.0,0.455574511,63.0,0.614046,-0.082080379
GANAB,989.0,0.425909644,1027.0,0.227628,0.124530743
GAS6,315.0,0.393865445,183.0,0.329438,0.14946598
GAS7,6619.0,0.423630168,311.0,0.225592,0.417891982
GBE1,708.0,0.404013874,283.0,0.140697,0.125814074
GBP1,1735.0,0.42614962,220.0,-0.230381,-0.159399144
GBP2,5058.0,0.440134196,314.0,-0.595646,0.069108979
GBP4,4106.0,0.42983554,116.0,-0.355601,-0.05466903
GBP5,1753.0,0.421901204,537.0,1.026572,0.219801871
GFOD2,622.0,0.396604754,295.0,0.432117,0.072143728
GGA2,5408.0,0.377812588,83.0,0.351193,0.03085639
GGCX,5211.0,0.417836117,106.0,0.562494,0.264707293
GIGYF1,2212.0,0.443456438,1210.0,-0.05876,-0.419619952
GINS3,1415.0,0.387351931,208.0,-0.024646,0.131268206
GLA,1699.0,0.378726947,110.0,-0.616433,-0.204860345
GLE1,1357.0,0.383457083,114.0,-0.12175,0.037958802
GLRX,1188.0,0.430296645,211.0,-0.42256,-0.113485854
GLRX3,3557.0,0.41418463,539.0,-0.186449,0.214261432
GLUD1,1558.0,0.392454008,1132.0,-1.226228,-0.338715029
GLYR1,2033.0,0.39940414,57.0,-0.219638,0.205409303
GMEB1,4582.0,0.43446142,142.0,-0.106981,0.063331434
GMPPA,198.0,0.434966364,375.0,0.241022,0.037562578
GMPR,3984.0,0.435743929,114.0,-1.570325,-0.563405231
GMPR2,464.0,0.453637396,704.0,-0.867753,-0.349938651
GNAI1,1947.0,0.435804474,356.0,-0.31112,-0.275075169
GNG7,3803.0,0.398730372,237.0,2.27171,0.943274431
GNPDA1,1360.0,0.395964134,67.0,-0.646681,0.142050991
GOLGA2,1243.0,0.401070546,13.0,0.193708,-0.18208711
GON4L,926.0,0.418089888,175.0,0.167874,0.023344998
GOSR1,5968.0,0.408103421,237.0,-0.449172,-0.20310586
GOSR2,3258.0,0.374298057,541.0,0.33295,0.375329813
GOT2,1054.0,0.444803236,129.0,-0.341317,-0.343971915
GPS2,97.0,0.431122181,76.0,0.382522,0.026566313
GPX7,626.0,0.395840774,39.0,0.496636,0.559298535
GRAMD1A,299.0,0.411657297,748.0,-0.014798,-0.343746788
GRB2,2292.0,0.4413596,358.0,0.054317,-0.148005412
GSTM4,2467.0,0.390909061,314.0,-1.645777,-1.364117532
GTF2A2,1070.0,0.420716795,404.0,-0.407064,-0.130605788
GTF2E2,604.0,0.365750105,273.0,0.274013,-0.349158652
GTF3C2,932.0,0.372227001,397.0,0.200632,-0.105697807
GTPBP1,2894.0,0.424954603,154.0,0.383934,0.149536973
GTPBP3,1032.0,0.436547413,95.0,-0.427375,-0.213536855
GTSE1,680.0,0.368527868,212.0,0.680612,-1.001612649
GTSF1,222.0,0.36097632,86.0,8.291251,1.81850819
HADH,818.0,0.383558671,219.0,0.302808,-0.280932498
HADHA,615.0,0.383558671,130.0,0.15545,0.130932094
HAUS5,3319.0,0.378752573,51.0,0.277105,-0.029552684
HAUS8,346.0,0.37535995,111.0,0.314068,0.14869288
HCCS,1274.0,0.398607648,275.0,-0.005084,0.380633587
HCK,337.0,0.440224323,364.0,0.406414,-0.050889344
HDAC1,591.0,0.390040122,63.0,-0.11627,-0.098495559
HDDC3,763.0,0.387287166,29.0,-0.6439,-0.290382411
HDGF,1342.0,0.465394593,322.0,0.728391,-0.169962779
HDLBP,2343.0,0.397687311,375.0,0.358669,0.389617964
HEATR3,1385.0,0.384091545,883.0,0.515456,0.369057948
HEBP2,9119.0,0.359416339,297.0,0.475883,0.084057689
HECA,3704.0,0.443714129,285.0,0.778051,0.203050075
HECTD3,3914.0,0.446742268,98.0,-0.069569,0.141952665
HERC2,726.0,0.429958504,109.0,-0.607637,-0.03782795
HERC5,379.0,0.393838904,153.0,-1.024625,-0.331459804
HERC6,651.0,0.398146132,183.0,-1.61391,-1.061124251
HIP1,4874.0,0.430847644,52.0,0.313975,0.25738261
HLA-A,4150.0,0.424443523,84.0,-0.479059,-0.087708435
HLA-C,420.0,0.421684519,65.0,-0.0984,0.613112029
HLA-DRA,409.0,0.420807891,109.0,0.705701,0.630064287
HLA-E,1459.0,0.413523771,126.0,-0.110503,0.017049826
HLA-F,121.0,0.407256461,124.0,-0.170607,-0.46804381
HMBOX1,3560.0,0.369177113,482.0,0.170091,-1.068130011
HMBS,266.0,0.451934812,299.0,0.649139,0.120474446
HMGB2,3775.0,0.450826504,193.0,0.414117,-0.649081979
HMGCS1,3661.0,0.374424323,345.0,1.58042,0.752860834
HMOX1,616.0,0.436401717,107.0,0.092617,-0.124167704
HNRNPA0,7504.0,0.386421138,284.0,-0.490135,-0.328741792
HNRNPD,1688.0,0.420386111,318.0,0.133431,-0.195636065
HNRNPL,1102.0,0.449817015,176.0,-0.146686,-0.279878839
HNRNPU,4156.0,0.432126199,218.0,-0.139508,-0.033883967
HNRNPUL1,2135.0,0.394022965,339.0,0.151912,0.195675953
HNRNPUL2,2674.0,0.436897081,229.0,0.256996,0.025614051
HSBP1,3274.0,0.4454546,174.0,-0.396449,0.387278604
HSD11B1,4482.0,0.426649415,154.0,-0.338863,-0.241672803
HSD17B7,398.0,0.431983247,99.0,-0.285227,-0.081871466
HSP90AB1,313.0,0.39509298,251.0,1.820998,0.509909477
HSPA1L,428.0,0.464100714,183.0,-0.667756,-0.054675687
HSPA4L,7877.0,0.413794867,342.0,0.501365,-0.258608187
HSPB11,107.0,0.34538245,284.0,-0.284985,-0.060784528
HTRA2,571.0,0.421976635,602.0,1.314968,0.106635718
HTT,3901.0,0.373695076,145.0,-0.268629,0.065760545
HUS1,2068.0,0.374612864,131.0,0.101853,0.316220146
HYI,310.0,0.378597605,196.0,-0.903093,-0.030348269
HYOU1,1409.0,0.403839016,234.0,0.509366,0.050150638
ICAM1,1537.0,0.426062071,319.0,0.113586,-0.122592739
IER3IP1,3342.0,0.438740024,97.0,-0.706555,-0.099109893
IFI16,254.0,0.415211655,290.0,0.125695,0.271387978
IFI30,213.0,0.431523306,62.0,0.070595,-0.254963343
IFI35,160.0,0.418462024,223.0,-1.438914,-0.121867676
IFI44,267.0,0.403888008,124.0,-1.080767,-0.694668071
IFI44L,5058.0,0.403608012,200.0,-1.955878,-0.386029948
IFIH1,121.0,0.412344512,377.0,-0.594295,-0.264702892
IFIT1,2775.0,0.411248073,495.0,-1.920975,-0.606462188
IFIT2,1901.0,0.420797646,175.0,-0.990743,-0.449301003
